mean_packet_size,std_packet_size,min_packet_size,max_packet_size,total_bytes,mean_iat,std_iat,max_iat,flow_duration,packet_count,large_packet_ratio,burst_density,mean_burst_time,label,group_id
97.5,70.31237444433235,70.0,469.0,9750,0.002180082629425357,0.004239374611888024,0.023097515106201172,0.21582818031311035,100,0.0,45174.61441430376,0.21582818031311035,signaling,0
96.11,70.64020031115426,70.0,469.0,9611,0.0016677644517686632,0.004441730541496787,0.030946016311645508,0.16510868072509766,100,0.0,58209.79095709117,0.16510868072509766,signaling,0
100.05,64.73088520945778,70.0,469.0,10005,0.001335132001626371,0.0027067478266291703,0.021036624908447266,0.13217806816101074,100,0.0,75692.77147432035,0.13217806816101074,signaling,0
96.07,62.826308979598664,70.0,469.0,9607,0.0007456601268113262,0.0013989525894544498,0.009589195251464844,0.07382035255432129,100,0.0,130138.49878909641,0.07382035255432129,signaling,0
96.05,68.59495243820787,70.0,469.0,9605,0.0013262430826822917,0.002642778836032522,0.01627039909362793,0.13129806518554688,100,0.0,73153.60536974561,0.13129806518554688,signaling,0
99.66,90.04567951878646,70.0,686.0,9966,0.0016553835435347123,0.005259400968025185,0.03576850891113281,0.16388297080993652,100,0.0,60811.31638894697,0.16388297080993652,signaling,0
99.51,81.95138741961604,70.0,469.0,9951,0.0021330178386033184,0.006121108793813182,0.04618358612060547,0.21116876602172852,100,0.0,47123.223117915855,0.21116876602172852,signaling,0
86.82,51.129909055268236,70.0,469.0,8682,0.0009756834820063427,0.0021371048155965308,0.013267755508422852,0.09659266471862793,100,0.0,89881.67107325509,0.09659266471862793,signaling,0
80.96,11.276453343139414,70.0,138.0,8096,0.0009011258982648754,0.001987080992287871,0.014787435531616211,0.08921146392822266,100,0.0,90749.65137734306,0.08921146392822266,signaling,0
94.41,68.83401702646738,70.0,469.0,9441,0.001081844772955384,0.00217757137674844,0.011301040649414062,0.10710263252258301,100,0.0,88148.27076952173,0.10710263252258301,signaling,0
97.22,76.62122160341741,70.0,469.0,9722,0.0012891677894977607,0.004049856154862485,0.03411078453063965,0.12762761116027832,100,0.0,76174.14239343979,0.12762761116027832,signaling,0
85.73,51.808851560327035,70.0,469.0,8573,0.0011348339042278252,0.0033797489941724307,0.023119211196899414,0.11234855651855469,100,0.0,76306.48723196478,0.11234855651855469,signaling,0
87.88,51.514906580522876,70.0,469.0,8788,0.0010581787186439591,0.0020954327848385123,0.009943008422851562,0.10475969314575195,100,0.0,83886.42472776874,0.10475969314575195,signaling,0
90.01,59.39806309973416,70.0,469.0,9001,0.0008094792414193202,0.0017506967864707045,0.012480974197387695,0.0801384449005127,100,0.0,112316.72506808711,0.0801384449005127,signaling,0
79.22,11.221033820464138,70.0,138.0,7922,0.0007391192696311257,0.0032730409258703262,0.0314638614654541,0.07317280769348145,100,0.0,108262.782130794,0.07317280769348145,signaling,0
85.12,51.26563761429288,70.0,469.0,8512,0.0003138094237356475,0.0005660278243559715,0.003901958465576172,0.0310671329498291,100,0.0,273978.48508456384,0.0310671329498291,signaling,0
81.67,34.02559477804906,70.0,409.0,8167,0.0008430769949248343,0.0022985390332476412,0.01650261878967285,0.0834646224975586,100,0.0,97848.66817759477,0.0834646224975586,signaling,0
83.77,39.72048715713341,70.0,469.0,8377,0.0007682472768456045,0.001588071216529617,0.008894920349121094,0.07605648040771484,100,0.0,110140.382709158,0.07605648040771484,signaling,0
88.33,59.38721327019815,70.0,469.0,8833,0.0005252361297607422,0.0012102539325212164,0.008378744125366211,0.05199837684631348,100,0.0,169867.42025979146,0.05199837684631348,signaling,0
81.21,16.563390353427042,70.0,182.0,8121,0.0006658573343296244,0.0022821659822061537,0.020164012908935547,0.06591987609863281,100,0.0,123193.14427570887,0.06591987609863281,signaling,0
