Biflow_ID,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,total_bytes,packet_count,duration,mean_iat,std_iat,max_iat,min_iat,byte_rate,packet_rate,label
10.42.0.113_104.16.53.46_443_52285_TCP,340.8333333333333,524.7831033441869,54.0,1611.0,8180,24,11.014580488204956,0.4788948038349981,2.17889473704039,10.69789433479309,4.76837158203125e-07,742.651911809778,2.178929814600816,Other/Media
10.42.0.113_104.18.40.34_443_52271_TCP,990.3181189488243,639.9485422266255,54.0,1601.0,716000,723,212.2728877067566,0.29400676967694817,7.73986953230951,208.11680507659912,0.0,3373.016706759547,3.405993127077029,Other/Media
10.42.0.113_104.19.151.56_443_52273_TCP,316.7241379310345,489.18820132328625,66.0,1590.0,9185,29,0.820321798324585,0.02929720708302089,0.07329910154384414,0.34108519554138184,0.0,11196.811814519,35.35193713892771,Other/Media
10.42.0.113_104.192.137.16_443_52288_TCP,380.1,515.3757755269451,54.0,1591.0,7602,20,1.0145397186279297,0.053396827296206824,0.1653563427629965,0.7501842975616455,2.384185791015625e-07,7493.0457303685025,19.713353671056307,Other/Media
10.42.0.113_104.192.137.16_443_52289_TCP,407.18518518518516,522.715986692089,54.0,1591.0,10994,27,1.0115644931793213,0.038906326660743125,0.08870047064254585,0.3422102928161621,0.0,10868.302719032235,26.691301929586167,Other/Media
10.42.0.113_124.106.10.145_443_51708_TCP,348.75,505.94978752836727,54.0,1446.0,4185,12,0.015013694763183594,0.0013648813421075995,0.0008733000158930304,0.002459287643432617,1.6689300537109375e-06,278726.9449034505,799.2170463181376,Other/Media
10.42.0.113_124.106.10.145_443_51717_TCP,96.125,72.27454167962603,66.0,287.0,769,8,0.013377189636230469,0.001911027090890067,0.0020017860276307364,0.006167888641357422,2.384185791015625e-07,57481.61903142814,597.9882343971718,Other/Media
10.42.0.113_124.106.10.145_443_53452_UDP,1144.6602680188337,356.0556785991925,71.0,1274.0,3160407,2761,9.803585290908813,0.0035520236561263816,0.09314191751356896,3.245762825012207,0.0,322372.538601588,281.63163133070657,Other/Media
10.42.0.113_124.106.10.145_443_53854_UDP,1141.5734728748398,357.1058576919345,84.0,1274.0,5344847,4682,13.200535297393799,0.0028200246309322365,0.0660469444287987,3.0842790603637695,0.0,404896.20115322445,354.6825594445261,Other/Media
10.42.0.113_124.106.10.145_443_55887_UDP,388.5813953488372,464.2815521360578,78.0,1294.0,16709,43,121.95081686973572,2.9035908778508506,7.709760480859978,25.510897874832153,0.0,137.01425125207496,0.35260116128070035,Other/Media
